股票代號,股票名稱,日期,收盤價,漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-04-17,11.92,0.06,140058208,1677148993,,否,是,11.92,11.92,11.92,11.92,0.0,0.0,0.0
00401A,主動摩根台灣鑫收,2026-04-17,11.37,0.13,23293260,264547260,,否,是,11.37,11.37,11.37,11.37,0.0,0.0,0.0
0050,元大台灣50,2026-04-17,84.15,-0.85,101258031,8526065307,綠縮,否,是,84.15,84.15,84.15,84.15,0.0,0.0,0.0
0051,元大中型100,2026-04-17,121.3,0.85,85315,10344263,綠縮,否,是,121.3,121.3,121.3,121.3,0.0,0.0,0.0
0052,富邦科技,2026-04-17,50.05,-0.65,68736543,3444470438,綠縮,否,是,50.05,50.05,50.05,50.05,0.0,0.0,0.0
0053,元大電子,2026-04-17,191.85,-2.65,16889,3248669,綠縮,否,是,191.85,191.85,191.85,191.85,0.0,0.0,0.0
0055,元大MSCI金融,2026-04-17,33.43,-0.09,400682,13325669,綠縮,否,是,33.43,33.43,33.43,33.43,0.0,0.0,0.0
0056,元大高股息,2026-04-17,40.98,0.18,69525243,2853975373,綠縮,否,是,40.98,40.98,40.98,40.98,0.0,0.0,0.0
0057,富邦摩台,2026-04-17,249.7,-2.1,109282,27272842,綠縮,否,是,249.7,249.7,249.7,249.7,0.0,0.0,0.0
0061,元大寶滬深,2026-04-17,24.02,-0.11,517065,12451686,綠縮,否,是,24.02,24.02,24.02,24.02,0.0,0.0,0.0
006203,元大MSCI台灣,2026-04-17,153.7,-0.7,5252,806982,,否,是,153.7,153.7,153.7,153.7,0.0,0.0,0.0
006204,永豐臺灣加權,2026-04-17,187.0,0.4,64624,12082777,,否,是,187.0,187.0,187.0,187.0,0.0,0.0,0.0
006205,富邦上証,2026-04-17,40.09,-0.2,246483,9900160,綠縮,否,是,40.09,40.09,40.09,40.09,0.0,0.0,0.0
006206,元大上證50,2026-04-17,36.63,-0.4,45162,1657913,綠縮,否,是,36.63,36.63,36.63,36.63,0.0,0.0,0.0
006207,復華滬深,2026-04-17,32.36,-0.05,138576,4486125,綠縮,否,是,32.36,32.36,32.36,32.36,0.0,0.0,0.0
006208,富邦台50,2026-04-17,194.85,-1.95,3759779,733588075,,否,是,194.85,194.85,194.85,194.85,0.0,0.0,0.0
00631L,元大台灣50正2,2026-04-17,25.59,-0.39,218060323,5595773710,紅縮,否,是,25.59,25.59,25.59,25.59,0.0,0.0,0.0
00632R,元大台灣50反1,2026-04-17,12.71,0.08,58273982,739965762,紅縮,否,是,12.71,12.71,12.71,12.71,0.0,0.0,0.0
00633L,富邦上証正2,2026-04-17,50.5,-0.3,3478250,175847207,綠縮,否,是,50.5,50.5,50.5,50.5,0.0,0.0,0.0
00634R,富邦上証反1,2026-04-17,3.14,0.02,241241,752864,紅縮,否,是,3.14,3.14,3.14,3.14,0.0,0.0,0.0
00635U,期元大S&P黃金,2026-04-17,50.5,-0.3,3498170,176159304,綠縮,否,是,50.5,50.5,50.5,50.5,0.0,0.0,0.0
00636,國泰中國A50,2026-04-17,28.07,-0.08,413790,11610749,綠縮,否,是,28.07,28.07,28.07,28.07,0.0,0.0,0.0
00636K,國泰中國A50+U,2026-04-17,8.85,0.0,500,4426,,否,是,8.85,8.85,8.85,8.85,0.0,0.0,0.0
00637L,元大滬深300正2,2026-04-17,20.84,-0.11,8097548,168955873,綠縮,否,是,20.84,20.84,20.84,20.84,0.0,0.0,0.0
00638R,元大滬深300反1,2026-04-17,6.73,0.02,355001,2387546,紅縮,否,是,6.73,6.73,6.73,6.73,0.0,0.0,0.0
00639,富邦深100,2026-04-17,16.88,0.14,1148639,19377872,綠縮,否,是,16.88,16.88,16.88,16.88,0.0,0.0,0.0
00640L,富邦日本正2,2026-04-17,94.15,-1.6,275676,25887156,綠縮,否,是,94.15,94.15,94.15,94.15,0.0,0.0,0.0
00641R,富邦日本反1,2026-04-17,4.01,0.02,747260,2999486,紅縮,否,是,4.01,4.01,4.01,4.01,0.0,0.0,0.0
00642U,期元大S&P石油,2026-04-17,27.05,0.43,13804103,374673936,綠縮,否,是,27.05,27.05,27.05,27.05,0.0,0.0,0.0
00643,群益深証中小,2026-04-17,18.98,0.09,1299565,24688313,綠縮,否,是,18.98,18.98,18.98,18.98,0.0,0.0,0.0
00645,富邦日本,2026-04-17,53.3,-0.45,169208,9001301,綠縮,否,是,53.3,53.3,53.3,53.3,0.0,0.0,0.0
00646,元大S&P500,2026-04-17,69.85,0.15,1569579,109655065,綠縮,否,是,69.85,69.85,69.85,69.85,0.0,0.0,0.0
00647L,元大S&P500正2,2026-04-17,119.75,0.3,128068,15349929,綠縮,否,是,119.75,119.75,119.75,119.75,0.0,0.0,0.0
00648R,元大S&P500反1,2026-04-17,4.26,0.0,1431005,6080698,紅縮,否,是,4.26,4.26,4.26,4.26,0.0,0.0,0.0
00650L,復華香港正2,2026-04-17,17.68,-0.35,3227364,57471259,紅縮,否,是,17.68,17.68,17.68,17.68,0.0,0.0,0.0
00651R,復華香港反1,2026-04-17,5.18,0.04,61980,319554,紅縮,否,是,5.18,5.18,5.18,5.18,0.0,0.0,0.0
00652,富邦印度,2026-04-17,34.06,0.17,423427,14335051,綠縮,否,是,34.06,34.06,34.06,34.06,0.0,0.0,0.0
00653L,富邦印度正2,2026-04-17,47.74,-0.18,332820,15832669,綠縮,否,是,47.74,47.74,47.74,47.74,0.0,0.0,0.0
00654R,富邦印度反1,2026-04-17,6.71,0.02,57221,385017,紅縮,否,是,6.71,6.71,6.71,6.71,0.0,0.0,0.0
00655L,國泰中國A50正2,2026-04-17,35.2,-0.22,656546,23123534,綠縮,否,是,35.2,35.2,35.2,35.2,0.0,0.0,0.0
00656R,國泰中國A50反1,2026-04-17,5.94,0.04,1451,8610,紅縮,否,是,5.94,5.94,5.94,5.94,0.0,0.0,0.0
00657,國泰日經225,2026-04-17,69.15,-0.75,64429,4456735,綠縮,否,是,69.15,69.15,69.15,69.15,0.0,0.0,0.0
00657K,國泰日經225+U,2026-04-17,22.02,-0.21,200,4404,,否,是,22.02,22.02,22.02,22.02,0.0,0.0,0.0
00660,元大歐洲50,2026-04-17,43.1,-0.27,8287,357807,綠縮,否,是,43.1,43.1,43.1,43.1,0.0,0.0,0.0
00661,元大日經225,2026-04-17,76.0,-0.8,60650,4611680,綠縮,否,是,76.0,76.0,76.0,76.0,0.0,0.0,0.0
00662,富邦NASDAQ,2026-04-17,106.8,0.25,3585732,382960790,綠縮,否,是,106.8,106.8,106.8,106.8,0.0,0.0,0.0
00663L,國泰臺灣加權正2,2026-04-17,73.3,-1.15,7889912,581287925,綠縮,否,是,73.3,73.3,73.3,73.3,0.0,0.0,0.0
00664R,國泰臺灣加權反1,2026-04-17,2.06,0.02,15317491,31457729,紅縮,否,是,2.06,2.06,2.06,2.06,0.0,0.0,0.0
00665L,富邦恒生國企正2,2026-04-17,10.14,-0.17,11464588,116781548,紅縮,否,是,10.14,10.14,10.14,10.14,0.0,0.0,0.0
00666R,富邦恒生國企反1,2026-04-17,8.93,0.1,31369,278483,紅縮,否,是,8.93,8.93,8.93,8.93,0.0,0.0,0.0
00668,國泰美國道瓊,2026-04-17,56.0,0.1,21601,1210161,綠縮,否,是,56.0,56.0,56.0,56.0,0.0,0.0,0.0
00668K,國泰美國道瓊+U,2026-04-17,17.74,0.04,200,3548,,否,是,17.74,17.74,17.74,17.74,0.0,0.0,0.0
00669R,國泰美國道瓊反1,2026-04-17,5.66,0.01,311252,1759834,紅縮,否,是,5.66,5.66,5.66,5.66,0.0,0.0,0.0
00670L,富邦NASDAQ正2,2026-04-17,167.65,0.05,1554528,261059532,綠縮,否,是,167.65,167.65,167.65,167.65,0.0,0.0,0.0
00671R,富邦NASDAQ反1,2026-04-17,2.75,0.0,4349810,11928051,紅縮,否,是,2.75,2.75,2.75,2.75,0.0,0.0,0.0
00673R,期元大S&P原油反1,2026-04-17,13.91,-0.21,15970727,221136597,紅縮,否,是,13.91,13.91,13.91,13.91,0.0,0.0,0.0
00675L,富邦臺灣加權正2,2026-04-17,221.7,-4.3,2099098,468421473,綠縮,否,是,221.7,221.7,221.7,221.7,0.0,0.0,0.0
00676R,富邦臺灣加權反1,2026-04-17,7.02,0.05,3723196,26055623,紅縮,否,是,7.02,7.02,7.02,7.02,0.0,0.0,0.0
00678,群益那斯達克生技,2026-04-17,36.53,-0.21,224300,8195539,綠縮,否,是,36.53,36.53,36.53,36.53,0.0,0.0,0.0
00680L,元大美債20正2,2026-04-17,7.02,-0.09,16389084,115086509,紅縮,否,是,7.02,7.02,7.02,7.02,0.0,0.0,0.0
00681R,元大美債20反1,2026-04-17,20.97,0.13,107000,2243790,綠縮,否,是,20.97,20.97,20.97,20.97,0.0,0.0,0.0
00682U,期元大美元指數,2026-04-17,19.95,-0.1,1307,26130,綠縮,否,是,19.95,19.95,19.95,19.95,0.0,0.0,0.0
00683L,期元大美元指正2,2026-04-17,20.79,0.17,24962,518580,綠縮,否,是,20.79,20.79,20.79,20.79,0.0,0.0,0.0
00684R,期元大美元指反1,2026-04-17,15.46,0.0,1190,18401,紅縮,否,是,15.46,15.46,15.46,15.46,0.0,0.0,0.0
00685L,群益臺灣加權正2,2026-04-17,200.2,-3.25,840139,168848191,綠縮,否,是,200.2,200.2,200.2,200.2,0.0,0.0,0.0
00686R,群益臺灣加權反1,2026-04-17,1.25,0.0,3809856,4776416,紅縮,否,是,1.25,1.25,1.25,1.25,0.0,0.0,0.0
00688L,國泰20年美債正2,2026-04-17,7.0,-0.09,6836183,47874138,,否,是,7.0,7.0,7.0,7.0,0.0,0.0,0.0
00689R,國泰20年美債反1,2026-04-17,21.9,0.17,5055,110696,,否,是,21.9,21.9,21.9,21.9,0.0,0.0,0.0
00690,兆豐藍籌30,2026-04-17,60.15,-0.1,385085,23201897,綠縮,否,是,60.15,60.15,60.15,60.15,0.0,0.0,0.0
00692,富邦公司治理,2026-04-17,73.8,-0.6,966873,71359026,,否,是,73.8,73.8,73.8,73.8,0.0,0.0,0.0
00693U,期街口S&P黃豆,2026-04-17,21.89,-0.09,552138,12101814,,否,是,21.89,21.89,21.89,21.89,0.0,0.0,0.0
00700,富邦恒生國企,2026-04-17,17.79,-0.14,180569,3221536,,否,是,17.79,17.79,17.79,17.79,0.0,0.0,0.0
00701,國泰股利精選30,2026-04-17,30.02,0.17,1974969,59207756,,否,是,30.02,30.02,30.02,30.02,0.0,0.0,0.0
00702,國泰標普低波高息,2026-04-17,23.7,0.08,126994,3009470,,否,是,23.7,23.7,23.7,23.7,0.0,0.0,0.0
00703,台新MSCI中國,2026-04-17,20.8,-0.18,28913,601894,,否,是,20.8,20.8,20.8,20.8,0.0,0.0,0.0
00706L,期元大S&P日圓正2,2026-04-17,19.36,-0.14,1534362,29729063,,否,是,19.36,19.36,19.36,19.36,0.0,0.0,0.0
00708L,期元大S&P黃金正2,2026-04-17,102.75,-1.35,2497928,254828553,,否,是,102.75,102.75,102.75,102.75,0.0,0.0,0.0
00709,富邦歐洲,2026-04-17,38.43,-0.38,31725,1221987,,否,是,38.43,38.43,38.43,38.43,0.0,0.0,0.0
00710B,復華彭博非投等債,2026-04-17,18.92,0.02,459849,8694039,,否,是,18.92,18.92,18.92,18.92,0.0,0.0,0.0
00711B,復華彭博新興債,2026-04-17,16.09,-0.07,156485,2517952,,否,是,16.09,16.09,16.09,16.09,0.0,0.0,0.0
00712,復華富時不動產,2026-04-17,8.93,-0.11,22120146,197897478,,否,是,8.93,8.93,8.93,8.93,0.0,0.0,0.0
00713,元大台灣高息低波,2026-04-17,54.0,0.4,25768623,1387755622,,否,是,54.0,54.0,54.0,54.0,0.0,0.0,0.0
00714,群益道瓊美國地產,2026-04-17,21.38,0.12,179219,3831729,,否,是,21.38,21.38,21.38,21.38,0.0,0.0,0.0
00715L,期街口布蘭特正2,2026-04-17,49.38,1.61,22850080,1137986933,,否,是,49.38,49.38,49.38,49.38,0.0,0.0,0.0
00717,富邦美國特別股,2026-04-17,15.17,0.03,179533,2721107,,否,是,15.17,15.17,15.17,15.17,0.0,0.0,0.0
00728,第一金工業30,2026-04-17,51.8,1.15,75783,3920726,,否,是,51.8,51.8,51.8,51.8,0.0,0.0,0.0
00730,富邦臺灣優質高息,2026-04-17,24.78,0.66,914917,22497401,,否,是,24.78,24.78,24.78,24.78,0.0,0.0,0.0
00731,復華富時高息低波,2026-04-17,72.75,-0.1,673332,48901599,,否,是,72.75,72.75,72.75,72.75,0.0,0.0,0.0
