股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
006201,元大富櫃50,2026-07-08,46.34,0.15,0.32,349332000,0,綠增,否,是,47.46,47.38,47.43,45.53,0.3298,-1.0008,-1.2276
00679B,元大美債20年,2026-07-08,26.77,-0.26,-0.96,32476722000,0,紅轉綠,否,否,26.99,27.15,26.9,26.78,-1.1643,0.3511,0.5495
00687B,國泰20年美債,2026-07-08,27.87,-0.29,-1.03,17856515000,0,紅轉綠,否,否,28.09,28.25,28.08,27.91,-1.1262,0.1808,0.3036
00687C,國泰20年美債+櫃U,2026-07-08,9.26,-0.11,-1.17,26000000,0,綠增,否,否,9.36,9.44,9.39,9.34,-1.5973,-0.222,0.0906
00694B,富邦美債1-3,2026-07-08,42.28,-0.1,-0.24,196571000,0,紅縮,否,是,42.21,42.08,41.85,41.66,0.6054,0.6891,0.4899
00695B,富邦美債7-10,2026-07-08,35.55,-0.2,-0.56,348996000,0,紅縮,是,是,35.59,35.58,35.31,35.22,0.0844,0.6422,0.4738
00696B,富邦美債20年,2026-07-08,29.16,-0.32,-1.09,2542266000,0,紅轉綠,否,是,29.42,29.6,29.32,29.07,-1.1956,0.3424,0.5193
00697B,元大美債7-10,2026-07-08,35.76,-0.22,-0.61,831051000,0,紅縮,是,是,35.83,35.81,35.67,35.66,0.123,0.3082,0.2853
00719B,元大美債1-3,2026-07-08,31.39,-0.1,-0.32,3166455000,0,紅縮,否,是,31.35,31.25,31.09,31.0,0.6549,0.6506,0.4718
00720B,元大投資級公司債,2026-07-08,33.31,-0.39,-1.16,10428758000,0,紅轉綠,是,是,33.59,33.69,33.47,33.16,-0.5801,0.247,0.417
00722B,群益投資級電信債,2026-07-08,35.91,-0.46,-1.26,2288321000,0,綠增,否,否,36.26,36.46,36.3,36.09,-1.1073,-0.0493,0.1448
00723B,群益投資級科技債,2026-07-08,30.75,-0.53,-1.69,210355000,0,綠增,否,否,31.11,31.26,31.11,30.89,-0.9234,0.064,0.1626
00724B,群益投資級金融債,2026-07-08,34.09,-0.35,-1.02,5562855000,0,紅轉綠,是,是,34.32,34.39,34.11,33.83,-0.3831,0.4704,0.4964
00725B,國泰投資級公司債,2026-07-08,35.41,-0.39,-1.09,11053448000,0,紅轉綠,是,是,35.69,35.77,35.55,35.21,-0.4908,0.2719,0.3883
00726B,國泰新興投等債,2026-07-08,33.34,-0.18,-0.54,166602000,0,紅縮,否,是,33.37,33.35,33.1,32.98,0.1681,0.6246,0.5071
00727B,國泰優選非投等債,2026-07-08,40.16,-0.08,-0.2,118634000,0,紅縮,否,是,40.08,39.98,39.75,39.53,0.5015,0.609,0.5133
00734B,台新JPM新興債,2026-07-08,16.0,-0.13,-0.81,2100000,0,紅縮,否,是,16.05,16.04,15.93,15.81,0.1372,0.5453,0.6637
00740B,富邦全球投等債,2026-07-08,38.73,-0.43,-1.1,1601040000,0,紅轉綠,否,是,39.02,39.12,38.94,38.72,-0.4744,0.1972,0.2459
00741B,富邦全球非投等債,2026-07-08,37.71,-0.04,-0.11,151964000,0,紅縮,否,是,37.61,37.47,37.33,37.34,0.7339,0.5312,0.394
00746B,富邦A級公司債,2026-07-08,35.78,-0.39,-1.08,1288598000,0,紅轉綠,否,是,36.03,36.11,35.85,35.63,-0.4476,0.3892,0.4089
