股票代號,股票名稱,日期,收盤價,漲跌(元),漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
00400A,主動國泰動能高息,2026-04-20,12.13,0.21,1.76,133473308,1620794024,紅增,否,是,11.96,11.94,11.93,11.92,0.3523,0.1762,0.0881
00401A,主動摩根台灣鑫收,2026-04-20,11.51,0.14,1.23,23305897,267995290,紅增,否,是,11.4,11.38,11.38,11.37,0.2463,0.1231,0.0616
0050,元大台灣50,2026-04-20,84.55,0.4,0.48,100551500,8533691370,綠轉紅,否,是,84.23,84.19,84.17,84.16,0.0951,0.0475,0.0238
0051,元大中型100,2026-04-20,122.65,1.35,1.11,189487,23237572,綠轉紅,是,是,121.57,121.43,121.37,121.32,0.2226,0.1113,0.0556
0052,富邦科技,2026-04-20,49.2,,,54186385,2674227846,綠增,否,否,49.88,49.96,50.01,50.04,-0.3397,-0.1698,-0.0849
0053,元大電子,2026-04-20,194.45,2.6,1.36,19950,3871937,綠轉紅,否,是,192.37,192.11,191.98,191.89,0.271,0.1355,0.0678
0055,元大MSCI金融,2026-04-20,33.55,0.12,0.36,426787,14297148,綠轉紅,否,是,33.45,33.44,33.44,33.43,0.0718,0.0359,0.0179
0056,元大高股息,2026-04-20,41.47,0.49,1.2,72627550,3013774535,綠轉紅,否,是,41.08,41.03,41.0,40.99,0.2391,0.1196,0.0598
0057,富邦摩台,2026-04-20,251.7,2.0,0.8,48113,12116696,綠轉紅,否,是,250.1,249.9,249.8,249.73,0.1602,0.0801,0.04
0061,元大寶滬深,2026-04-20,24.14,0.12,0.5,255468,6157249,綠轉紅,否,是,24.04,24.03,24.03,24.02,0.0999,0.05,0.025
006203,元大MSCI台灣,2026-04-20,155.15,1.45,0.94,12802,1978559,紅增,是,是,153.99,153.84,153.77,153.72,0.1887,0.0943,0.0472
006204,永豐臺灣加權,2026-04-20,187.95,0.95,0.51,25510,4810341,紅增,否,是,187.19,187.09,187.05,187.02,0.1016,0.0508,0.0254
006205,富邦上証,2026-04-20,40.18,0.09,0.22,697198,28003304,綠轉紅,是,是,40.11,40.1,40.09,40.09,0.0449,0.0224,0.0112
006206,元大上證50,2026-04-20,36.82,0.19,0.52,89901,3303183,綠轉紅,是,是,36.67,36.65,36.64,36.63,0.1037,0.0519,0.0259
006207,復華滬深,2026-04-20,32.47,0.11,0.34,154785,5024067,綠轉紅,否,是,32.38,32.37,32.37,32.36,0.068,0.034,0.017
006208,富邦台50,2026-04-20,196.0,1.15,0.59,3711812,729822515,紅增,否,是,195.08,194.97,194.91,194.87,0.118,0.059,0.0295
00631L,元大台灣50正2,2026-04-20,25.99,0.4,1.56,182331819,4757132038,紅增,否,是,25.67,25.63,25.61,25.6,0.3126,0.1563,0.0782
00632R,元大台灣50反1,2026-04-20,12.62,-0.09,-0.71,67383589,848377568,紅轉綠,否,否,12.69,12.7,12.71,12.71,-0.1416,-0.0708,-0.0354
00633L,富邦上証正2,2026-04-20,50.7,0.2,0.4,1840433,93285697,綠轉紅,否,是,50.54,50.52,50.51,50.5,0.0792,0.0396,0.0198
00634R,富邦上証反1,2026-04-20,3.13,-0.01,-0.32,277401,867554,紅縮,否,否,3.14,3.14,3.14,3.14,-0.0637,-0.0318,-0.0159
00635U,期元大S&P黃金,2026-04-20,50.25,-0.25,-0.5,3515417,177066718,綠增,否,否,50.45,50.48,50.49,50.5,-0.099,-0.0495,-0.0248
00636,國泰中國A50,2026-04-20,28.11,0.04,0.14,584992,16421352,綠縮,否,是,28.08,28.07,28.07,28.07,0.0285,0.0143,0.0071
00636K,國泰中國A50+U,2026-04-20,8.89,0.04,0.45,300,2685,紅增,否,是,8.86,8.85,8.85,8.85,0.0904,0.0452,0.0226
00637L,元大滬深300正2,2026-04-20,20.94,0.1,0.48,20781366,434423113,綠轉紅,是,是,20.86,20.85,20.84,20.84,0.096,0.048,0.024
00638R,元大滬深300反1,2026-04-20,6.7,-0.03,-0.45,163041,1095074,紅縮,否,否,6.72,6.73,6.73,6.73,-0.0892,-0.0446,-0.0223
00639,富邦深100,2026-04-20,16.93,0.05,0.3,734772,12450162,綠轉紅,否,是,16.89,16.88,16.88,16.88,0.0592,0.0296,0.0148
00640L,富邦日本正2,2026-04-20,93.8,-0.35,-0.37,524941,49462225,綠增,是,否,94.08,94.12,94.13,94.14,-0.0743,-0.0372,-0.0186
00641R,富邦日本反1,2026-04-20,4.01,0.0,0.0,1480110,5931636,紅縮,是,是,4.01,4.01,4.01,4.01,0.0,0.0,0.0
00642U,期元大S&P石油,2026-04-20,26.52,-0.53,-1.96,20017913,528620620,綠增,否,否,26.94,27.0,27.02,27.04,-0.3919,-0.1959,-0.098
00643,群益深証中小,2026-04-20,19.09,0.11,0.58,3019993,57589488,綠轉紅,是,是,19.0,18.99,18.99,18.98,0.1159,0.058,0.029
00645,富邦日本,2026-04-20,53.2,-0.1,-0.19,123008,6555415,綠增,否,否,53.28,53.29,53.3,53.3,-0.0375,-0.0188,-0.0094
00646,元大S&P500,2026-04-20,70.05,0.2,0.29,2653080,185908763,綠縮,是,是,69.89,69.87,69.86,69.85,0.0573,0.0286,0.0143
00647L,元大S&P500正2,2026-04-20,120.9,1.15,0.96,104545,12655775,綠轉紅,否,是,119.98,119.87,119.81,119.77,0.1921,0.096,0.048
00648R,元大S&P500反1,2026-04-20,4.21,-0.05,-1.17,628776,2653518,紅縮,否,否,4.25,4.26,4.26,4.26,-0.2347,-0.1174,-0.0587
00650L,復華香港正2,2026-04-20,17.99,0.31,1.75,7415977,133510728,紅增,是,是,17.74,17.71,17.7,17.69,0.3507,0.1753,0.0877
00651R,復華香港反1,2026-04-20,5.12,-0.06,-1.16,273699,1404522,紅轉綠,是,否,5.17,5.17,5.18,5.18,-0.2317,-0.1158,-0.0579
00652,富邦印度,2026-04-20,34.13,0.07,0.21,266582,9099962,綠轉紅,否,是,34.07,34.07,34.06,34.06,0.0411,0.0206,0.0103
00653L,富邦印度正2,2026-04-20,48.36,0.62,1.3,456440,22049722,綠轉紅,否,是,47.86,47.8,47.77,47.75,0.2597,0.1299,0.0649
00654R,富邦印度反1,2026-04-20,6.65,-0.06,-0.89,132020,879034,紅轉綠,是,否,6.7,6.7,6.71,6.71,-0.1788,-0.0894,-0.0447
00655L,國泰中國A50正2,2026-04-20,35.44,0.24,0.68,1230141,43418156,綠轉紅,是,是,35.25,35.22,35.21,35.2,0.1364,0.0682,0.0341
00656R,國泰中國A50反1,2026-04-20,5.9,-0.04,-0.67,62501,370169,紅縮,是,否,5.93,5.94,5.94,5.94,-0.1347,-0.0673,-0.0337
00657,國泰日經225,2026-04-20,69.25,0.1,0.14,122315,8461888,綠縮,是,是,69.17,69.16,69.16,69.15,0.0289,0.0145,0.0072
00657K,國泰日經225+U,2026-04-20,22.09,0.07,0.32,200,4418,紅增,否,是,22.03,22.03,22.02,22.02,0.0636,0.0318,0.0159
00660,元大歐洲50,2026-04-20,43.47,0.37,0.86,14009,607277,綠轉紅,是,是,43.17,43.14,43.12,43.11,0.1717,0.0858,0.0429
00661,元大日經225,2026-04-20,76.0,0.0,0.0,143295,10904281,綠縮,是,是,76.0,76.0,76.0,76.0,0.0,0.0,0.0
00662,富邦NASDAQ,2026-04-20,107.4,0.6,0.56,4536645,487869476,綠轉紅,否,是,106.92,106.86,106.83,106.81,0.1124,0.0562,0.0281
00663L,國泰臺灣加權正2,2026-04-20,74.3,1.0,1.36,8812032,659330648,綠轉紅,否,是,73.5,73.4,73.35,73.32,0.2729,0.1364,0.0682
00664R,國泰臺灣加權反1,2026-04-20,2.04,-0.02,-0.97,22669110,46090555,紅縮,否,否,2.06,2.06,2.06,2.06,-0.1942,-0.0971,-0.0485
00665L,富邦恒生國企正2,2026-04-20,10.32,0.18,1.78,21934907,226580305,紅增,是,是,10.18,10.16,10.15,10.14,0.355,0.1775,0.0888
00666R,富邦恒生國企反1,2026-04-20,8.82,-0.11,-1.23,66805,590913,紅轉綠,是,否,8.91,8.92,8.92,8.93,-0.2464,-0.1232,-0.0616
00668,國泰美國道瓊,2026-04-20,56.4,0.4,0.71,50924,2873106,綠轉紅,是,是,56.08,56.04,56.02,56.01,0.1429,0.0714,0.0357
00668K,國泰美國道瓊+U,2026-04-20,18.06,0.32,1.8,200,3612,紅增,否,是,17.8,17.77,17.76,17.75,0.3608,0.1804,0.0902
00669R,國泰美國道瓊反1,2026-04-20,5.61,-0.05,-0.88,1400746,7848175,紅縮,是,否,5.65,5.65,5.66,5.66,-0.1767,-0.0883,-0.0442
00670L,富邦NASDAQ正2,2026-04-20,170.3,2.65,1.58,1907651,325487350,綠轉紅,否,是,168.18,167.92,167.78,167.69,0.3161,0.1581,0.079
00671R,富邦NASDAQ反1,2026-04-20,2.73,-0.02,-0.73,3142780,8560685,紅縮,否,否,2.75,2.75,2.75,2.75,-0.1455,-0.0727,-0.0364
00673R,期元大S&P原油反1,2026-04-20,14.14,0.23,1.65,28527277,404290530,紅增,是,是,13.96,13.93,13.92,13.91,0.3307,0.1653,0.0827
00675L,富邦臺灣加權正2,2026-04-20,225.45,3.75,1.69,2526440,573305524,綠轉紅,否,是,222.45,222.07,221.89,221.76,0.3383,0.1691,0.0846
00676R,富邦臺灣加權反1,2026-04-20,6.95,-0.07,-1.0,4003595,27758815,紅轉綠,否,否,7.01,7.01,7.02,7.02,-0.1994,-0.0997,-0.0499
00678,群益那斯達克生技,2026-04-20,36.83,0.3,0.82,252071,9281068,綠轉紅,否,是,36.59,36.56,36.55,36.54,0.1642,0.0821,0.0411
00680L,元大美債20正2,2026-04-20,7.08,0.06,0.85,24963244,176987638,紅增,是,是,7.03,7.03,7.02,7.02,0.1709,0.0855,0.0427
00681R,元大美債20反1,2026-04-20,20.85,-0.12,-0.57,4000,83280,綠增,否,否,20.95,20.96,20.96,20.97,-0.1144,-0.0572,-0.0286
00683L,期元大美元指正2,2026-04-20,20.81,0.02,0.1,5151,107122,綠轉紅,否,是,20.79,20.79,20.79,20.79,0.0192,0.0096,0.0048
00685L,群益臺灣加權正2,2026-04-20,202.95,2.75,1.37,1140021,233249033,綠轉紅,否,是,200.75,200.47,200.34,200.25,0.2747,0.1374,0.0687
00686R,群益臺灣加權反1,2026-04-20,1.24,-0.01,-0.8,5341300,6626851,紅縮,否,否,1.25,1.25,1.25,1.25,-0.16,-0.08,-0.04
00688L,國泰20年美債正2,2026-04-20,7.07,0.07,1.0,12452639,88049568,紅增,是,是,7.01,7.01,7.0,7.0,0.2,0.1,0.05
00689R,國泰20年美債反1,2026-04-20,21.73,-0.17,-0.78,59019,1282494,綠增,是,否,21.87,21.88,21.89,21.9,-0.1553,-0.0776,-0.0388
00690,兆豐藍籌30,2026-04-20,61.05,0.9,1.5,356971,21855922,綠轉紅,否,是,60.33,60.24,60.19,60.16,0.2993,0.1496,0.0748
00692,富邦公司治理,2026-04-20,74.35,0.55,0.75,962852,71786912,紅增,否,是,73.91,73.85,73.83,73.81,0.1491,0.0745,0.0373
00693U,期街口S&P黃豆,2026-04-20,21.95,0.06,0.27,600133,13175092,紅增,否,是,21.9,21.9,21.89,21.89,0.0548,0.0274,0.0137
00700,富邦恒生國企,2026-04-20,17.97,0.18,1.01,272584,4891557,紅增,是,是,17.83,17.81,17.8,17.79,0.2024,0.1012,0.0506
00701,國泰股利精選30,2026-04-20,30.34,0.32,1.07,1241956,37692618,紅增,否,是,30.08,30.05,30.04,30.03,0.2132,0.1066,0.0533
00702,國泰標普低波高息,2026-04-20,23.87,0.17,0.72,113055,2697304,紅增,否,是,23.73,23.72,23.71,23.7,0.1435,0.0717,0.0359
00703,台新MSCI中國,2026-04-20,20.89,0.09,0.43,51947,1085326,紅增,是,是,20.82,20.81,20.8,20.8,0.0865,0.0433,0.0216
00706L,期元大S&P日圓正2,2026-04-20,19.45,0.09,0.46,987004,19207856,紅增,否,是,19.38,19.37,19.36,19.36,0.093,0.0465,0.0232
00708L,期元大S&P黃金正2,2026-04-20,101.85,-0.9,-0.88,2924075,298908113,綠增,否,否,102.57,102.66,102.7,102.73,-0.1752,-0.0876,-0.0438
00709,富邦歐洲,2026-04-20,38.45,0.02,0.05,49753,1915800,紅增,是,是,38.43,38.43,38.43,38.43,0.0104,0.0052,0.0026
